id,title,image_link
8793,تي شيرت باب الاحساء,https://e-majaz.com/wp-content/uploads/2020/09/thumbnail_bf218ba69a-198546-front-flat-198546.jpg
8804,تي شيرت باب الاحساء - xs,
8805,تي شيرت باب الاحساء - m,
8806,تي شيرت باب الاحساء - s,
8807,تي شيرت باب الاحساء - xl,
8808,تي شيرت باب الاحساء - l,
8809,تي شيرت باب الاحساء - xxl,
8811,تي شيرت قصر إبراهيم,https://e-majaz.com/wp-content/uploads/2020/09/thumbnail_fd89656138-198548-front-flat-198548.jpg
8812,تي شيرت قصر إبراهيم - l,
8813,تي شيرت قصر إبراهيم - m,
8814,تي شيرت قصر إبراهيم - s,
8815,تي شيرت قصر إبراهيم - xl,
8816,تي شيرت قصر إبراهيم - xs,
8817,تي شيرت قصر إبراهيم - xxl,
8818,تي شيرت مجاز,https://e-majaz.com/wp-content/uploads/2020/09/thumbnail_0e5c1c7865-198549-front-flat-198549.jpg
8819,تي شيرت مجاز - l,
8820,تي شيرت مجاز - m,
8821,تي شيرت مجاز - s,
8822,تي شيرت مجاز - xl,
8823,تي شيرت مجاز - xs,
8824,تي شيرت مجاز - xxl,
8837,قلم,https://e-majaz.com/wp-content/uploads/2020/09/اقلام.jpg
8838,"باب القيصرية ""ميدالية""",https://e-majaz.com/wp-content/uploads/2020/09/١Souq-majaz_Products-file.jpg
8840,بروش النخلة,https://e-majaz.com/wp-content/uploads/2020/09/بنز-e1601216169101.jpg
8841,بروش رطب,https://e-majaz.com/wp-content/uploads/2020/09/٤Souq-majaz_Products-file-e1601216424471.jpg
8844,قصر إبراهيم,https://e-majaz.com/wp-content/uploads/2020/09/Souq-majaz_Products-file-e1601216611273.jpg
9287,دبس تمر خلاص طبيعي,https://e-majaz.com/wp-content/uploads/2021/03/PHOTO-2021-03-13-13-53-32-2.jpg
9601,طحينة تمر,https://e-majaz.com/wp-content/uploads/2020/10/43fcfaa3-f211-49d1-b068-fca90e54ba1e.jpg
10225,رز حساوي درجة أولى,https://e-majaz.com/wp-content/uploads/2020/11/رز-حساوي.jpeg